,ARKK_Vol,ARKK_Close,BITO_Vol,BITO_Close,QQQ_Vol,QQQ_Close,VTI_Vol,VTI_Close,JPST_Vol,JPST_Close,ETH_Daily_Volume,ETH_Close_Price_(USD),Bored_Ape_Vol,Bored_Ape_Avg_Sale_Price,Mutant_Ape_Vol,Mutant_Ape_Avg_Sale_Price,Sandbox_Vol,Sandbox_Avg_Sale_Price,ARKK_$_Vol,BITO_$_Vol,QQQ_$_Vol,VTI_$_Vol,JPST_$_Vol,ETH_$_Vol,Bored_Ape_$_Vol,Mutant_Ape_$_Vol,Sandbox_$_Vol
2021-10-06,4512093.0,109.94,,,51746178.0,359.68,2934235.0,224.65,2485222.0,50.68,9.113920498680417e+20,3588.12,17.0,191783.7086147059,77.0,19846.39409420779,49.0,4312.996097265307,496059504.42,,18612065303.04,659175892.75,125951050.96,3.270184041972518e+24,3260323.0464500003,1528172.3452539998,211336.80876600006
2021-10-07,4909800.0,112.58,,,35484956.0,362.94,2927907.0,226.9,2134108.0,50.68,17495595241.96,3562.84,13.0,196506.5100769231,83.0,19106.231187057234,63.0,3032.0135220634925,552745284.0,,12878909930.64,664342098.3000001,108156593.44,62334006551864.766,2554584.631,1585817.1885257503,191016.85189000002
2021-10-08,4334236.0,110.55,,,35191315.0,361.1,1807251.0,226.22,1433065.0,50.67,13446600148.63,3576.4,30.0,170176.77863466667,177.0,19962.106095056486,71.0,3357.548574422535,479149789.8,,12707583846.5,408836321.21999997,72613403.55,48090420771560.33,5105303.3590400005,3533292.778824998,238385.94878399998
2021-10-11,3911899.0,110.24,,,31733439.0,358.39,2276585.0,224.7,1314408.0,50.68,21209313851.42,3490.61,9.0,172155.61075555556,52.0,19031.086636653847,58.0,2605.891450724139,431247745.76,,11372947203.21,511548649.5,66614197.44,74033443022905.16,1549400.4968,989616.505106,151141.70414200006
2021-10-12,3728424.0,111.68,,,38756337.0,357.15,2783638.0,224.56,1976682.0,50.655,18820382214.59,3607.55,14.0,183102.34658613143,59.0,19133.25120469732,60.0,2808.299033246585,416390392.32000005,,13841825759.55,625093749.28,100128826.71000001,67895469858244.16,2563432.85220584,1128861.821077142,168497.9419947951
2021-10-13,4377828.0,113.4,,,36323036.0,360.0,3088380.0,225.62,2637686.0,50.665,23148211886.28,3791.23,19.0,171241.5126473684,93.0,22074.01610134333,47.0,3448.2519082978733,496445695.20000005,,13076292960.0,696800295.6,133638361.19,87760195349621.31,3253588.7402999992,2052883.4974249299,162067.83969000005
2021-10-14,4667800.0,115.545,,,40243149.0,366.6,2555505.0,229.38,1876085.0,50.65,25306713763.53,3868.16,17.0,270618.91932352935,77.0,19731.842402982762,66.0,2403.3027915000002,539340951.0,,14753138423.400002,586181736.9,95023705.25,97890417911536.2,4600521.628499999,1519351.8650296726,158617.984239
2021-10-15,3389519.0,115.74,,,34692516.0,368.99,2611127.0,230.74,2260974.0,50.655,19215625230.07,3829.61,14.0,169402.68775285713,73.0,19022.54574926355,51.0,3387.390202960785,392302929.06,,12801191478.84,602491443.98,114529637.97,73588350537328.38,2371637.62854,1388645.8396962392,172756.90035100002
2021-10-18,3561873.0,117.02,,,28085085.0,372.65,2860201.0,231.56,2257409.0,50.64,19744375979.36,3877.45,10.0,158323.04726999998,34.0,16696.14675270588,89.0,2472.5001373595505,416810378.46,,10465906925.25,662308143.5600001,114315191.76,76557830641169.44,1583230.4726999998,567668.9895919999,220052.51222499998
2021-10-19,5535469.0,119.59,23793837.0,41.9,25228935.0,375.44,2530914.0,233.16,2019923.0,50.64,24997442504.19,4162.49,16.0,399110.37049987493,55.0,18039.88540363636,64.0,3232.9573362968736,661986737.71,996961770.3,9471951356.4,590107908.24,102288900.72,104051604449265.83,6385765.927997999,992193.6971999997,206909.2695229999
2021-10-20,3339902.0,118.86,28194395.0,43.27,27504995.0,374.98,2395968.0,234.13,1758988.0,50.65,34068353122.56,4062.76,19.0,196647.2708010526,79.0,17912.448296556962,57.0,2871.5135070350884,396980751.71999997,1219971471.65,10313823025.1,560967987.84,89092742.2,138411542332211.88,3736298.1452199994,1415083.415428,163676.26990100005
2021-10-21,4268875.0,119.66,19186877.0,40.82,20890389.0,377.27,2338680.0,234.81,2114522.0,50.64,23629083641.27,3971.95,32.0,146533.84404999999,77.0,17233.31069941747,45.0,2195.2074273866665,510813582.5,783208319.14,7881317058.03,549145450.8,107079394.08,93853538768942.38,4689083.0095999995,1326964.9238551452,98784.3342324
2021-10-22,4723831.0,117.75,11187755.0,39.49,32854830.0,374.03,1930244.0,234.4,2487751.0,50.62,18045497403.07,4168.96,28.0,148365.1919513696,96.0,17562.39397796958,50.0,2621.7061855,556231100.25,441804444.95000005,12288692064.9,452449193.6,125929955.61999999,75230956853502.7,4154225.374638349,1685989.8218850796,131085.309275
2021-10-25,7239096.0,121.81,6496598.0,40.57,27198872.0,377.92,2008186.0,235.73,2339257.0,50.63,20597856476.16,4129.95,18.0,193849.6194583333,42.0,18458.203532129235,73.0,1926.447587331507,881794283.76,263566980.86,10278997706.24,473389685.78,118436581.91000001,85068117353716.98,3489293.1502499995,775244.5483494279,140630.6738752
2021-10-26,7702707.0,121.13,5290037.0,40.06,41795078.0,378.88,2633032.0,235.74,3321201.0,50.62,30150646792.07,3924.31,12.0,179356.35423033332,44.0,22663.334039545447,44.0,2444.1505966363634,933028898.91,211918882.22,15835319152.64,620710963.6800001,168119194.62,118320484712588.22,2152276.2507639998,997186.6977399996,107542.62625199999
2021-10-27,4635774.0,118.78,6082564.0,38.09,38541477.0,379.95,3255730.0,234.03,2440298.0,50.631,29577845089.54,4288.22,21.0,171073.30887857144,50.0,24531.906967644118,40.0,3698.9248600278393,550637235.72,231684862.76000002,14643834186.15,761938491.9,123554728.038,126836306869867.23,3592539.48645,1226595.348382206,147956.99440111357
2021-10-28,4527352.0,121.68,6634355.0,39.57,31146606.0,384.2,1917342.0,236.53,1972269.0,50.63,27676459995.55,4417.4,20.0,163746.52629225,109.0,18144.445941039,48.0,2312.72446085625,550888191.36,262521427.35,11966526025.199999,453508903.26,99855979.47,122257994384342.56,3274930.525845,1977744.607573251,111010.7741211
2021-10-29,3040681.0,121.22,6838136.0,40.38,31758575.0,386.08,3344591.0,236.91,2525050.0,50.61,17342638341.43,4323.94,19.0,222496.36932526322,82.0,18704.733781573166,104.0,3144.4054512115395,368591350.82,276123931.68,12261350636.0,792367053.81,127792780.5,74988527630042.83,4227431.017180001,1533788.1700889997,327018.1669260001
2021-11-01,6331559.0,125.14,5618695.0,39.515,26942766.0,387.43,3766120.0,238.1,2753449.0,50.58,26725891827.78,4593.15,11.0,182675.36990000002,54.0,18664.65940313889,279.0,4134.882094501059,792331293.26,222022732.925,10438435831.380001,896713172.0,139269450.42,122756030048767.69,2009429.0689000003,1007891.6077695,1153632.1043657956
2021-11-02,5479084.0,123.06,5735613.0,40.98,22377397.0,389.12,3379990.0,238.81,2040082.0,50.58,26119894974.23,4604.4,15.0,156151.61606119998,63.0,17229.573180769843,458.0,4568.600893633795,674256077.04,235045420.73999998,8707492720.64,807175411.9,103187347.56,120266444419344.6,2342274.2409179998,1085463.1103885002,2092419.209284278
2021-11-03,3805348.0,124.6,4726493.0,40.39,31575664.0,393.235,3350523.0,240.52,2259997.0,50.59,20757245332.61,4536.99,21.0,164142.82594380953,83.0,18134.579392349402,343.0,4708.474064950627,474146360.79999995,190903052.27,12416656233.04,805867791.96,114333248.23,94175414501598.23,3446999.34482,1505170.0895650003,1615006.604278065
2021-11-04,5061283.0,124.4,4049393.0,39.31,37357484.0,398.24,3422284.0,241.4,3544293.0,50.6,17515468102.97,4480.09,12.0,150528.66782083336,82.0,19680.581516993043,317.0,5127.371762830752,629623605.2,159181638.83,14877244428.16,826139357.6,179341225.8,78470873493434.88,1806344.0138500002,1613807.6843934294,1625376.8488173485
2021-11-05,5610514.0,122.19,2770126.0,39.295,37799298.0,398.57,3765571.0,242.34,2070880.0,50.61,17975841310.92,4521.41,17.0,162737.09232941174,72.0,19165.270682380553,225.0,5480.038977387788,685548705.66,108852101.17,15065666203.86,912548476.14,104807236.8,81276148661606.78,2766530.5695999996,1379899.4891314,1233008.7699122522
2021-11-08,3266167.0,123.4,6992265.0,42.5799,26737662.0,398.06,3256777.0,242.73,2874950.0,50.61,21358470843.48,4732.07,22.0,166627.6572590909,95.0,20760.931268568416,124.0,5542.34662146989,403045007.8,297729944.4735,10643193735.72,790517481.2099999,145501219.5,101069779124306.39,3665808.4596999995,1972288.4705139995,687250.9810622664
2021-11-09,5570377.0,120.5,6832440.0,43.32,48114670.0,395.28,2683190.0,242.05,2053511.0,50.6101,27015912709.59,4632.98,19.0,144472.49668947366,79.0,20393.54125191139,126.0,5857.7970083263,671230428.5,295981300.8,19018766757.6,649466139.5,103928397.0611,125164183265276.27,2744977.4370999993,1611089.7589009998,738082.4230491138
2021-11-10,7568712.0,116.65,8456320.0,42.315,49753283.0,389.49,3260686.0,239.67,2675071.0,50.61,20525362526.59,4722.68,26.0,161657.83800792307,65.0,21908.959575121207,167.0,5758.640619015449,882890254.8000001,357829180.79999995,19378406195.670002,781488613.62,135385343.31,96934719097076.06,4203103.788206,1424082.3723828786,961692.98337558
2021-11-11,3826677.0,117.24,2869389.0,41.63,28990905.0,390.62,2252448.0,239.98,1650099.0,50.58,23056471311.97,4668.7,24.0,156562.48508499996,92.0,22069.59509635769,238.0,5856.434225089076,448639611.47999996,119452664.07000001,11324427311.1,540542471.04,83462007.42,107643747614194.34,3757499.6420399994,2030402.7488649075,1393831.3455712001
2021-11-12,3522223.0,118.5,7334627.0,41.13,30500126.0,394.72,2328133.0,241.81,2109212.0,50.6,17146911320.45,4645.64,41.0,220781.71281131712,109.0,21339.42591543763,238.0,6548.430673373912,417383425.5,301673208.51,12039009734.720001,562965840.73,106726127.2,79658377106735.34,9052050.225264002,2325997.424782702,1558526.500262991
2021-11-15,3476960.0,117.44,5585604.0,40.89,30051286.0,394.63,3255572.0,241.78,3194499.0,50.58,240198789128.38,4210.14,72.0,228289.54519894446,274.0,31969.689395692276,408.0,8146.42240651021,408334182.4,228395347.56,11859138994.18,787132198.16,161577759.42,1011270530060957.9,16436847.254324,8759694.894419683,3323740.341856166
2021-11-16,3062992.0,118.9,7198249.0,38.2516,24351631.0,397.5,2866163.0,242.76,2272055.0,50.59,23925443211.05,4289.75,5.0,259895.592,18.0,37996.069880833325,176.0,9348.612092903968,364189748.8,275344541.4484,9679773322.5,695789729.88,114943262.45,102634170014601.73,1299477.96,683929.2578549999,1645355.7283510985
2016-05-28,,,,,,,,,,,52082279.3,12.23,,,,,,,,,,,,636966275.839,,,
2016-05-29,,,,,,,,,,,27727313.81,12.66,,,,,,,,,,,,351027792.8346,,,
2016-05-30,,,,,,,,,,,79779048.24,13.94,,,,,,,,,,,,1112119932.4655998,,,
2016-05-31,,,,,,,,,,,41437617.35,13.83,,,,,,,,,,,,573082247.9505,,,
2016-06-01,,,,,,,,,,,19458163.02,13.74,,,,,,,,,,,,267355159.8948,,,
2016-06-02,,,,,,,,,,,43687626.87,13.82,,,,,,,,,,,,603763003.3434,,,
2016-06-03,,,,,,,,,,,29287668.78,13.69,,,,,,,,,,,,400948185.5982,,,
2016-06-04,,,,,,,,,,,20134786.98,14.0,,,,,,,,,,,,281887017.72,,,
2016-06-05,,,,,,,,,,,15419021.83,13.92,,,,,,,,,,,,214632783.8736,,,
2016-06-06,,,,,,,,,,,39662664.06,14.38,,,,,,,,,,,,570349109.1828,,,
2016-06-07,,,,,,,,,,,30336443.87,14.45,,,,,,,,,,,,438361613.92149997,,,
2016-06-08,,,,,,,,,,,14048341.58,14.32,,,,,,,,,,,,201172251.4256,,,
2016-06-09,,,,,,,,,,,20046126.39,13.98,,,,,,,,,,,,280244846.9322,,,
2016-06-10,,,,,,,,,,,19653077.7,13.92,,,,,,,,,,,,273570841.584,,,
2016-06-11,,,,,,,,,,,72233632.29,15.74,,,,,,,,,,,,1136957372.2446,,,
2016-06-12,,,,,,,,,,,69940529.48,17.56,,,,,,,,,,,,1228155697.6687999,,,
2016-06-13,,,,,,,,,,,115860489.87,18.84,,,,,,,,,,,,2182811629.1508,,,
2016-06-14,,,,,,,,,,,36877492.25,18.42,,,,,,,,,,,,679283407.245,,,
2016-06-15,,,,,,,,,,,72472945.88,20.61,,,,,,,,,,,,1493667414.5867999,,,
2016-06-16,,,,,,,,,,,363576999.96,15.49,,,,,,,,,,,,5631807729.3804,,,
2016-06-17,,,,,,,,,,,253372103.5,11.36,,,,,,,,,,,,2878307095.7599998,,,
2016-06-18,,,,,,,,,,,144903963.76,12.33,,,,,,,,,,,,1786665873.1608,,,
2016-06-19,,,,,,,,,,,239156338.33,11.73,,,,,,,,,,,,2805303848.6109004,,,
2016-06-20,,,,,,,,,,,151199269.33,12.71,,,,,,,,,,,,1921742713.1843002,,,
2016-06-21,,,,,,,,,,,368883887.14,13.21,,,,,,,,,,,,4872956149.1194,,,
2016-06-22,,,,,,,,,,,76111363.6,13.58,,,,,,,,,,,,1033592317.688,,,
2016-06-23,,,,,,,,,,,64377798.84,14.16,,,,,,,,,,,,911589631.5744001,,,
2016-06-24,,,,,,,,,,,27859493.46,14.17,,,,,,,,,,,,394769022.3282,,,
2016-06-25,,,,,,,,,,,26060502.71,13.72,,,,,,,,,,,,357550097.1812,,,
2016-06-26,,,,,,,,,,,19213117.56,13.83,,,,,,,,,,,,265717415.8548,,,
2016-06-27,,,,,,,,,,,79174919.62,12.15,,,,,,,,,,,,961975273.3830001,,,
2016-06-28,,,,,,,,,,,46973119.89,12.73,,,,,,,,,,,,597967816.1997,,,
2016-06-29,,,,,,,,,,,29404106.82,12.41,,,,,,,,,,,,364904965.6362,,,
2016-06-30,,,,,,,,,,,33221703.08,12.3,,,,,,,,,,,,408626947.884,,,
2016-07-01,,,,,,,,,,,16175243.68,12.11,,,,,,,,,,,,195882200.9648,,,
2016-07-02,,,,,,,,,,,18564890.39,11.74,,,,,,,,,,,,217951813.1786,,,
2016-07-03,,,,,,,,,,,23169981.0,11.38,,,,,,,,,,,,263674383.78000003,,,
2016-07-04,,,,,,,,,,,83264450.6,10.45,,,,,,,,,,,,870113508.7699999,,,
2016-07-05,,,,,,,,,,,32281675.43,10.43,,,,,,,,,,,,336697874.7349,,,
2016-07-06,,,,,,,,,,,28431095.27,10.03,,,,,,,,,,,,285163885.5581,,,
2016-07-07,,,,,,,,,,,36354986.44,11.27,,,,,,,,,,,,409720697.1788,,,
2016-07-08,,,,,,,,,,,28522082.21,10.92,,,,,,,,,,,,311461137.7332,,,
2016-07-09,,,,,,,,,,,9409553.84,10.9,,,,,,,,,,,,102564136.856,,,
