,Gas_Price_(Wei),ETH_Close_Price_(USD),Gas_Price_(USD)
2016-12-08,939588332579,8.518,8e-06
2016-12-09,22949471336,8.087,0.0
2016-12-10,22755035263,8.217,0.0
2016-12-11,23102362744,8.453,0.0
2016-12-12,23597952573,8.356,0.0
2016-12-13,22648901910,8.215,0.0
2016-12-14,22618352558,7.755,0.0
2016-12-15,23094151934,7.794,0.0
2016-12-16,22992393242,7.66,0.0
2016-12-17,23595023607,7.887,0.0
2016-12-18,23992718388,7.591,0.0
2016-12-19,23123514564,7.591,0.0
2016-12-20,24119840003,7.873,0.0
2016-12-21,23592292635,7.641,0.0
2016-12-22,20481256826,7.14,0.0
2016-12-23,21893017280,7.236,0.0
2016-12-24,22905581735,7.164,0.0
2016-12-25,22736759512,7.212,0.0
2016-12-26,22814139095,7.142,0.0
2016-12-27,23152519818,7.465,0.0
2016-12-28,22822250696,8.214,0.0
2016-12-29,23046273651,8.148,0.0
2016-12-30,22836679784,8.054,0.0
2016-12-31,22450276633,8.154,0.0
2017-01-01,22502464773,8.317,0.0
2017-01-02,22989772352,9.595,0.0
2017-01-03,23220439902,11.0,0.0
2017-01-04,23038159919,10.12,0.0
2017-01-05,22939235415,10.1,0.0
2017-01-06,23009819425,9.733,0.0
2017-01-07,22843513981,10.17,0.0
2017-01-08,22998988736,10.27,0.0
2017-01-09,23091635207,10.5,0.0
2017-01-10,22532703925,9.629,0.0
2017-01-11,22676639926,9.713,0.0
2017-01-12,23040753981,9.651,0.0
2017-01-13,22119879499,9.721,0.0
2017-01-14,22409886093,9.797,0.0
2017-01-15,22419878847,9.556,0.0
2017-01-16,22395773525,10.09,0.0
2017-01-17,22742343222,10.1,0.0
2017-01-18,22420105832,10.37,0.0
2017-01-19,22228644380,10.57,0.0
2017-01-20,22369863556,10.9,0.0
2017-01-21,22405633901,10.71,0.0
2017-01-22,22118050371,10.74,0.0
2017-01-23,22267116021,10.54,0.0
2017-01-24,22081334070,10.46,0.0
2017-01-25,22329866070,10.63,0.0
2017-01-26,22478987111,10.47,0.0
2017-01-27,22449741445,10.55,0.0
2017-01-28,22219721089,10.44,0.0
2017-01-29,22393586898,10.62,0.0
2017-01-30,22234080218,10.66,0.0
2017-01-31,23010693003,10.65,0.0
2017-02-01,22534983936,10.78,0.0
2017-02-02,22623466807,10.95,0.0
2017-02-03,22508635957,11.32,0.0
2017-02-04,22623314914,11.25,0.0
2017-02-05,22331019732,11.29,0.0
2017-02-06,22488425969,11.45,0.0
2017-02-07,22381838948,11.39,0.0
2017-02-08,22770223820,10.89,0.0
2017-02-09,22865377988,11.3,0.0
2017-02-10,22403621823,11.38,0.0
2017-02-11,22195555854,11.34,0.0
2017-02-12,22626108892,11.3,0.0
2017-02-13,23210412106,13.0,0.0
2017-02-14,22818886821,12.97,0.0
2017-02-15,31915437681,12.95,0.0
2017-02-16,22602328224,12.66,0.0
2017-02-17,22533195533,12.77,0.0
2017-02-18,23057941420,12.74,0.0
2017-02-19,22391656238,12.23,0.0
2017-02-20,22466228953,12.67,0.0
2017-02-21,22569187220,12.57,0.0
2017-02-22,22844411723,13.13,0.0
2017-02-23,22741575515,13.11,0.0
2017-02-24,22755690878,13.51,0.0
2017-02-25,22580332911,14.59,0.0
2017-02-26,22771424431,15.55,0.0
2017-02-27,23193818563,16.07,0.0
2017-02-28,23580755304,17.55,0.0
2017-03-01,27402631555,19.08,1e-06
2017-03-02,23609865289,19.48,0.0
2017-03-03,23008036079,18.61,0.0
2017-03-04,22752613012,19.22,0.0
2017-03-05,22459193729,19.75,0.0
2017-03-06,22683379793,18.91,0.0
2017-03-07,22439900327,16.54,0.0
2017-03-08,22717981194,17.71,0.0
2017-03-09,22460423289,19.13,0.0
2017-03-10,25715550291,21.45,1e-06
2017-03-11,22822227019,23.31,1e-06
2017-03-12,22944292835,28.45,1e-06
2017-03-13,23503094188,28.58,1e-06
2017-03-14,22958465248,35.18,1e-06
2017-03-15,22877843867,45.51,1e-06
2017-03-16,23318234775,44.48,1e-06
2017-03-17,27329559604,34.0,1e-06
2017-03-18,22588280322,43.12,1e-06
2017-03-19,22676654708,42.51,1e-06
2017-03-20,22485861954,42.67,1e-06
2017-03-21,22401666063,41.65,1e-06
2017-03-22,22752454613,43.2,1e-06
2017-03-23,22541771175,53.19,1e-06
2017-03-24,27441833681,50.74,1e-06
2017-03-25,23012529660,50.59,1e-06
2017-03-26,22249849693,49.04,1e-06
2017-03-27,22247794560,50.36,1e-06
2017-03-28,22247087954,53.07,1e-06
2017-03-29,22264312196,51.91,1e-06
2017-03-30,22337722011,49.91,1e-06
2017-03-31,22421222086,50.27,1e-06
2017-04-01,22145659410,47.92,1e-06
2017-04-02,22176202916,43.89,1e-06
2017-04-03,22176569227,44.31,1e-06
2017-04-04,22335006404,44.83,1e-06
2017-04-05,22438228964,43.03,1e-06
2017-04-06,22774967565,42.04,1e-06
2017-04-07,22133175527,44.24,1e-06
2017-04-08,22134943280,43.49,1e-06
2017-04-09,21963656913,43.74,1e-06
2017-04-10,22330645586,43.57,1e-06
2017-04-11,22007626117,46.38,1e-06
2017-04-12,23067711028,50.02,1e-06
2017-04-13,22310955741,47.23,1e-06
2017-04-14,22257379067,48.88,1e-06
2017-04-15,22240477959,48.21,1e-06
2017-04-16,22100218538,47.84,1e-06
2017-04-17,22255010723,49.88,1e-06
2017-04-18,22747420158,47.88,1e-06
2017-04-19,22626922333,49.35,1e-06
2017-04-20,22480105997,48.35,1e-06
2017-04-21,22819358782,48.32,1e-06
2017-04-22,22631052480,48.75,1e-06
2017-04-23,21898039096,49.94,1e-06
2017-04-24,22992421400,50.09,1e-06
2017-04-25,21734015245,53.28,1e-06
2017-04-26,22048839796,62.93,1e-06
2017-04-27,22377947330,71.05,2e-06
2017-04-28,22130700584,69.83,2e-06
2017-04-29,22799209590,78.72,2e-06
2017-04-30,22541845100,77.53,2e-06
2017-05-01,22989649815,75.97,2e-06
2017-05-02,22975461233,80.37,2e-06
2017-05-03,22182605256,94.55,2e-06
2017-05-04,22523480694,89.38,2e-06
2017-05-05,22905913235,94.82,2e-06
2017-05-06,22254507120,90.46,2e-06
2017-05-07,22863576069,86.82,2e-06
2017-05-08,22304778708,85.74,2e-06
2017-05-09,22419891708,86.21,2e-06
2017-05-10,22141501610,88.2,2e-06
